NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=149 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=181 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=84 actions=output:1
 cookie=0x0, duration=8.922s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=264 actions=output:2
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=236 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=131 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=108 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=58 actions=output:3
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=228 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=233 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=113 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=27 actions=output:3
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=217 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=195 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=23 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=148 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=215 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=39 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=21 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=212 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=234 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=138 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=152 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=179 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=25 actions=output:3
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=227 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=211 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=231 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=123 actions=output:3
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=235 actions=output:3
 cookie=0x0, duration=8.922s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=266 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=121 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=161 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=220 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=209 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=91 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=178 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=232 actions=output:2
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=248 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=40 actions=output:2
 cookie=0x0, duration=8.922s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=267 actions=output:3
 cookie=0x0, duration=8.922s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=261 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=106 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=81 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=38 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=26 actions=output:3
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=257 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=251 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=116 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=90 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=99 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=210 actions=output:1
